Country,City,Latitude,Longitude
tz,mlimba,-8.8,35.8166667
tz,mtimbira,-8.7833333,36.35
br,maraial,-8.783333,-35.833333
br,belem de sao francisco,-8.766667,-38.966667
br,caetes,-8.766667,-36.633333
br,porto velho,-8.766667,-63.9
pg,popondetta,-8.7666667,148.2333333
sb,auki,-8.7666667,160.7
zm,mpulungu,-8.7666667,31.1333333
br,boca do acre,-8.75,-67.383333
br,capoeiras,-8.75,-36.633333
br,tamandare,-8.75,-35.1
br,tupanatinga,-8.75,-37.333333
cd,kamina,-8.738611,24.990556
tz,makungu,-8.7333333,35.2833333
id,praya,-8.705362,116.270357
br,agua preta,-8.7,-35.516667
br,carnaiba,-8.7,-37.666667
tz,rujewa,-8.7,34.3833333
tz,mahenge,-8.6833333,36.7166667
br,conceicao do araguaia,-8.241111,-49.296111
pe,salaverry,-8.2333333,-78.9666667
br,bezerros,-8.233333,-35.75
br,cha grande,-8.233333,-35.45
id,banyuwangi,-8.2215,114.3646
br,gravata,-8.2,-35.566667
ao,camabatela,-8.18812,15.37495
pe,tocache,-8.1841667,-76.5125
pe,moche,-8.1833333,-79.0333333
id,gondanglegi,-8.175288,112.635935
id,jember,-8.1705,113.702
br,tarauaca,-8.166667,-70.766667
id,kebumen,-7.323333,109.600833
id,salatiga,-7.321389,110.507778
br,barbalha,-7.316667,-39.283333
id,rajapolah,-7.221,108.1896
br,campina grande,-7.216667,-35.883333
br,teixeira,-7.216667,-37.25
id,ngemplak,-7.216667,110.631111
br,ananas,-6.360278,-47.91
id,rangkasbitung,-6.3591,106.2494
br,catole do rocha,-6.35,-37.75
pe,tabalosos,-6.35,-76.6833333
pe,bagua grande,-5.7561111,-78.4411111
br,mombaca,-5.75,-39.633333
tz,manyoni,-5.75,34.8333333
pe,cajaruro,-5.7363889,-78.4255556
br,macaiba,-5.716667,-35.55
ec,cariamanga,-4.3333333,-79.55
tz,makanya,-4.3333333,37.85
br,baturite,-4.333333,-38.883333
br,ipu,-4.333333,-40.7
br,lago da pedra,-4.333333,-45.166667
br,santa quiteria,-4.333333,-40.166667
cd,ilebo,-4.316667,20.583333
